Provinsi;Jan;Feb;Mar;Apr;Mei;Jun;Jul;Ags;Sep;Okt;Nov;Des
Aceh;162;106;215;97;50;33;62;66;49;44;81;7
Sumatera Utara;1;0;0;1;0;0;0;7;3;0;2;1
Sumatera Barat;14;16;14;8;9;3;14;5;6;12;14;9
Riau;9;8;7;11;10;10;5;7;9;18;10;2
Jambi;6;10;6;2;4;7;16;25;8;28;35;4
Sumatera Selatan;44;46;54;67;43;33;37;62;74;74;58;61
Bengkulu;0;3;4;0;0;0;1;0;0;0;0;0
Lampung;25;25;22;37;20;22;23;17;30;18;19;6
Kep. Bangka Belitung;7;2;9;19;22;1;0;3;1;1;6;2
Kepulauan Riau;4;1;11;4;5;1;4;1;2;3;0;0
DKI Jakarta;142;128;91;87;99;71;96;121;146;179;116;98
Jawa Barat;100;64;51;48;58;19;47;43;78;69;77;21
Jawa Tengah;130;211;159;177;123;85;131;107;108;135;115;81
DI Yogyakarta;66;64;56;49;45;38;58;49;68;95;85;52
Jawa Timur;86;77;64;68;67;31;56;48;61;92;47;26
Banten;8;8;11;12;13;8;5;20;7;24;22;12
Bali;1;5;5;1;5;4;3;3;4;10;5;10
Nusa Tenggara Barat;3;2;0;0;0;0;0;0;1;0;0;0
Nusa Tenggara Timur;6;2;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;16;8;4;11;7;2;0;41;14;21;2;21
Kalimantan Tengah;5;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Selatan;5;5;23;7;6;6;7;0;12;4;20;38
Kalimantan Timur;23;25;16;6;9;7;6;7;7;14;18;2
Kalimantan Utara;8;15;9;9;2;6;8;10;8;6;1;8
Sulawesi Utara;1;0;1;3;3;2;1;0;2;4;2;1
Sulawesi Tengah;18;18;9;22;14;8;21;8;8;3;4;0
Sulawesi Selatan;34;45;24;38;21;15;15;43;26;23;18;8
Sulawesi Tenggara;4;5;4;0;1;0;0;0;2;8;8;0
Gorontalo;10;0;0;0;1;0;0;2;3;0;0;0
Sulawesi Barat;8;3;0;3;0;1;1;2;7;2;0;2
Maluku;0;0;0;0;0;0;0;3;0;0;0;0
Maluku Utara;0;0;0;0;0;0;0;0;0;0;0;0
Papua Barat;0;2;1;0;0;0;0;0;0;10;5;0
Papua;2;3;1;0;8;4;4;9;4;7;18;2
